影片,內容
課文_L1_CH1_1-1,起床囉!早安!刷牙、洗臉、穿衣服，去上學真開心!
課文_L1_CH1_2-1,起床囉!早安!刷牙、洗臉、穿衣服，去上學真開心!
課文_L1_CH2_1-1,老師好!同學好!我讀書、畫畫、運動，學到好多喔。
課文_L1_CH2_2-1,老師好!同學好!我讀書、畫畫、運動，學到好多喔。
課文_L1_CH3_1-1,我們兩個是朋友，我們兩個一起聊天、跑步和玩。
課文_L1_CH3_2-1,我們兩個是朋友，我們兩個一起聊天、跑步和玩。
課文_L1_CH4_1-1,我的書包真是大，書包裡面有書、筆、橡皮擦，和一個大水壺
課文_L1_CH4_2-1,我的書包真是大，書包裡面有書、筆、橡皮擦，和一個大水壺
課文_L1_CH5_1-1,上課了!我們坐下。我們學手語，學手語真開心，我喜歡手語。
課文_L1_CH5_2-1,上課了!我們坐下。我們學手語，學手語真開心，我喜歡手語。
課文_L2_CH1_1-1,爸爸、媽媽辛苦的工作，哥哥、姊姊努力的讀書。爸爸、媽媽、哥哥、姊姊，我愛你們。
課文_L2_CH1_2-1,爸爸、媽媽辛苦的工作，哥哥、姊姊努力的讀書。爸爸、媽媽、哥哥、姊姊，我愛你們。
課文_L2_CH2_1-1,晚餐好豐盛!有魚、豬肉，也有菜，這些都好好吃。
課文_L2_CH2_2-1,晚餐好豐盛!有魚、豬肉，也有菜，這些都好好吃。
課文_L2_CH3_1-1,我和弟弟一起玩飛盤，我和妹妹一起騎腳踏車，我和爸爸一起洗碗，我和媽媽一起打掃，我們真幸福。
課文_L2_CH3_2-1,我和弟弟一起玩飛盤，我和妹妹一起騎腳踏車，我和爸爸一起洗碗，我和媽媽一起打掃，我們真幸福。
課文_L2_CH4_1-1,我洗手、洗臉、洗臉，都洗乾淨了。洗澡真舒服，我全身香噴噴。
課文_L2_CH4_2-1,我洗手、洗臉、洗臉，都洗乾淨了。洗澡真舒服，我全身香噴噴。
課文_L2_CH5_1-1,媽媽，晚安!爸爸，晚安!小狗睡著了，小貓也睡著了。我去睡覺了，明天見。
課文_L2_CH5_2-1,媽媽，晚安!爸爸，晚安!小狗睡著了，小貓也睡著了。我去睡覺了，明天見。
課文_L5_CH1_1-1,我和哥哥去公園玩，哥哥跳繩我幫他數，一、二、三、四、五、六、七、八、九、十、十一、十二，一直數到二十。換我跳繩，哥哥幫我數，從二十一數到三十，我繼續跳，他連續數，四十、五十、六十，數到一百才停止。
課文_L5_CH1_2-1,我和哥哥去公園玩，哥哥跳繩我幫他數，一、二、三、四、五、六、七、八、九、十、十一、十二，一直數到二十。換我跳繩，哥哥幫我數，從二十一數到三十，我繼續跳，他連續數，四十、五十、六十，數到一百才停止。
課文_L5_CH2_1-1,我們兩個來玩盪鞦韆，你盪鞦韆，我來算時間，數到十，就換人。你慢慢盪，輕輕盪。接下來換我盪鞦韆，你來算時間。大力盪，你我都擔心，輕輕盪，你我都放心。我幫你，你幫我。盪鞦韆，輪流玩，真好玩!
課文_L5_CH2_2-1,我們兩個來玩盪鞦韆，你盪鞦韆，我來算時間，數到十，就換人。你慢慢盪，輕輕盪。接下來換我盪鞦韆，你來算時間。大力盪，你我都擔心，輕輕盪，你我都放心。我幫你，你幫我。盪鞦韆，輪流玩，真好玩!
課文_L5_CH3_1-1,我經常和妹妹去公園跑步。她跑得快，我跑得慢。她可以跑很快，也可以跑很久。我問她:「你跑那麼久，會不會累?」她回答:「不會。」如果現在我們兩個來比賽跑步，你猜，誰會輸，誰會贏?
課文_L5_CH3_2-1,我經常和妹妹去公園跑步。她跑得快，我跑得慢。她可以跑很快，也可以跑很久。我問她:「你跑那麼久，會不會累?」她回答:「不會。」如果現在我們兩個來比賽跑步，你猜，誰會輸，誰會贏?
課文_L5_CH4_1-1,我們一起玩捉迷藏，十、九、八、七、六、五、四、三、二、一，開始找。東找找，西找找，找很久，還是找不到。大家在哪裡?在那裡!找到了!原來你們躲在花叢裡。
課文_L5_CH4_2-1,我們一起玩捉迷藏，十、九、八、七、六、五、四、三、二、一，開始找。東找找，西找找，找很久，還是找不到。大家在哪裡?在那裡!找到了!原來你們躲在花叢裡。
課文_L5_CH5_1-1,我家附近的公園真好，有好多小朋友可以一起玩。我們今天下午在那裡玩跳繩、盪鞦韆，還有翹翹板和溜滑梯，大家玩得好開心。晚上六點說再見回家去，約好明天下午四點半再見面。
課文_L5_CH5_2-1,我家附近的公園真好，有好多小朋友可以一起玩。我們今天下午在那裡玩跳繩、盪鞦韆，還有翹翹板和溜滑梯，大家玩得好開心。晚上六點說再見回家去，約好明天下午四點半再見面。
課文_L6_CH1_1-1,奶奶有隻狗，牠活潑又聰明，「站起來!」、「坐下!」、「回家!」這三個台灣手語都看得懂，你覺得:「牠聰不聰明?」
課文_L6_CH1_2-1,奶奶有隻狗，牠活潑又聰明，「站起來!」、「坐下!」、「回家!」這三個台灣手語都看得懂，你覺得:「牠聰不聰明?」
課文_L6_CH2_1-1,我家養了兩隻狗，一隻黑的，一隻白的。黑狗整天汪汪叫，喜歡熱鬧，不喜歡孤單。白狗每天安安靜靜，喜歡睡覺，不喜歡吵鬧。雖然牠們個性不一樣，但都愛啃骨頭。
課文_L6_CH2_2-1,我家養了兩隻狗，一隻黑的，一隻白的。黑狗整天汪汪叫，喜歡熱鬧，不喜歡孤單。白狗每天安安靜靜，喜歡睡覺，不喜歡吵鬧。雖然牠們個性不一樣，但都愛啃骨頭。
課文_L6_CH3_1-1,我家的狗很頑皮，牠喜歡咬沙發，看到「去散步囉!」，牠就會開心得活蹦亂跳!今天我牽小狗去散步，用手語告訴牠:「不要跑!」，「不可以叫!」，牠都能看懂手語並遵守。
課文_L6_CH3_2-1,我家的狗很頑皮，牠喜歡咬沙發，看到「去散步囉!」，牠就會開心得活蹦亂跳!今天我牽小狗去散步，用手語告訴牠:「不要跑!」，「不可以叫!」，牠都能看懂手語並遵守。
課文_L6_CH4_1-1,我帶著小狗去公園玩，公園裡有好多的小狗的朋友。小狗在草地上四處奔跑，跑的又喘又累，
課文_L6_CH4_2-1,我帶著小狗去公園玩，公園裡有好多的小狗的朋友。小狗在草地上四處奔跑，跑的又喘又累，
課文_L6_CH5_1-1,奶奶的狗不見了，奶奶很著急也很擔心。我來幫奶奶找。「請問你有看到一隻黑色的狗嗎?」「牠長甚麼樣子?」「牠的毛短短的，耳朵尖尖的。」
課文_L6_CH5_2-1,奶奶的狗不見了，奶奶很著急也很擔心。我來幫奶奶找。「請問你有看到一隻黑色的狗嗎?」「牠長甚麼樣子?」「牠的毛短短的，耳朵尖尖的。」
課文_L7_CH1_1-1,爸爸和媽媽常常去菜市場買菜，他們每個星期會去菜市場三次。我只有星期日有空，每個星期只會陪爸爸和媽媽去一次。菜市場很熱鬧，各種食物應有盡有，有菜、有魚、有肉、有水果。我很喜歡和爸爸、媽媽一起去菜市場。
課文_L7_CH1_2-1,爸爸和媽媽常常去菜市場買菜，他們每個星期會去菜市場三次。我只有星期日有空，每個星期只會陪爸爸和媽媽去一次。菜市場很熱鬧，各種食物應有盡有，有菜、有魚、有肉、有水果。我很喜歡和爸爸、媽媽一起去菜市場。
課文_L7_CH2_1-1,菜市場有各式各樣的東西，今天我們要買雞肉、香菇、蛋、番茄、洋蔥和牛肉。買雞肉和香菇，晚上可以煮香菇雞湯。買番茄和蛋，但可以炒番茄和蛋。買牛肉和洋蔥，準備炒洋蔥和牛肉。早上去菜市場買菜，晚上我們就可以大吃一頓!
課文_L7_CH2_2-1,菜市場有各式各樣的東西，今天我們要買雞肉、香菇、蛋、番茄、洋蔥和牛肉。買雞肉和香菇，晚上可以煮香菇雞湯。買番茄和蛋，但可以炒番茄和蛋。買牛肉和洋蔥，準備炒洋蔥和牛肉。早上去菜市場買菜，晚上我們就可以大吃一頓!
課文_L7_CH3_1-1,媽媽問老闆:「一斤牛肉多少錢?」老闆回答:「牛肉一斤三百元。」媽媽買了兩斤牛肉，一共付了六百元。接著去買雞肉，媽媽問老闆:「一隻雞多少錢?」老闆回答:「一隻雞五百元。」媽媽買了一隻雞，付了一千元，找回五百元。
課文_L7_CH3_2-1,媽媽問老闆:「一斤牛肉多少錢?」老闆回答:「牛肉一斤三百元。」媽媽買了兩斤牛肉，一共付了六百元。接著去買雞肉，媽媽問老闆:「一隻雞多少錢?」老闆回答:「一隻雞五百元。」媽媽買了一隻雞，付了一千元，找回五百元。
